release_date,track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,mils_of_streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2023-07-14,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,553,147,141.3817,43,263,45.0,10,826.0,125,B,Major,80,89,83,31,0,8,4
2023-03-23,LALA,Myke Towers,1,1474,48,133.7163,48,126,58.0,14,382.0,92,C#,Major,71,61,74,7,0,10,4
2023-06-30,vampire,Olivia Rodrigo,1,1397,113,140.004,94,207,91.0,14,949.0,138,F,Major,51,32,53,17,0,31,6
2019-08-23,Cruel Summer,Taylor Swift,1,7858,100,800.8408,116,207,125.0,12,548.0,170,A,Major,55,58,72,11,0,11,15
2023-05-18,WHERE SHE GOES,Bad Bunny,1,3133,50,303.2363,84,133,87.0,15,425.0,144,A,Minor,65,23,80,14,63,11,6
2023-06-01,Sprinter,"Dave, Central Cee",2,2186,91,183.7062,67,213,88.0,17,946.0,141,C#,Major,92,66,58,19,0,8,24
2023-03-16,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,3090,50,725.9801,34,222,43.0,13,418.0,148,F,Minor,67,83,76,48,0,8,3
2023-07-07,Columbia,Quevedo,1,714,43,58.1494,25,89,30.0,13,194.0,100,F,Major,67,26,71,37,0,11,4
2023-05-15,fukumean,Gunna,1,1096,83,95.2173,60,210,48.0,11,953.0,130,C#,Minor,85,22,62,12,0,28,9
2023-03-17,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2953,44,553.6341,49,110,66.0,13,339.0,170,D,Minor,81,56,48,21,0,8,33
2023-04-17,un x100to,"Bad Bunny, Grupo Frontera",2,2876,40,505.6714,41,205,54.0,12,251.0,83,F#,Minor,57,56,72,23,0,27,5
2023-07-07,Super Shy,NewJeans,1,422,55,58.2552,37,202,21.0,5,168.0,150,F,Minor,78,52,82,18,0,15,7
2023-01-12,Flowers,Miley Cyrus,1,12211,115,1316.8557,300,215,745.0,58,,118,,Major,71,65,68,6,0,3,7
2023-04-14,Daylight,David Kushner,1,3528,98,387.5707,80,156,182.0,24,,130,D,Minor,51,32,43,83,0,9,3
2022-03-31,As It Was,Harry Styles,1,23575,130,2513.1885,403,198,863.0,46,,174,F#,Minor,52,66,73,34,0,31,6
2022-12-08,Kill Bill,SZA,1,8109,77,1163.0937,183,162,161.0,12,187.0,89,G#,Major,64,43,73,5,17,16,4
